Title,Source,URL
Stellantis to invest $229 mln to upgrade Indiana plants for EVs - Reuters,Reuters,https://www.reuters.com/business/autos-transportation/stellantis-invest-229-mln-upgrade-indiana-plants-evs-2021-10-07/
Tesla's made-in-China auto sales hit a record - Reuters.com,Reuters,https://www.reuters.com/video/watch/idPmrH?now=true
"Tesla may push VW to speed EV shift, job cuts - Reuters.com",Reuters,https://www.reuters.com/video/watch/idOVEYZZ1CB
Energy from bogs: using peat to make batteries - Reuters,Reuters,https://www.reuters.com/video/watch/idOVEYUZQSB
"GM aims to double revenues, overtake Tesla - Reuters",Reuters,https://www.reuters.com/video/watch/idOVEY602VF
"GM aims to double revenues, overtake Tesla - Reuters",Reuters,https://www.reuters.com/video/watch/idPmOd?now=true
Vingroup to build $387 mln battery cell plant in central Vietnam - Reuters,Reuters,https://www.reuters.com/article/vietnam-vinfast-idUSL1N2RG1T7
Tesla's made-in-China auto sales hit a record - Reuters,Reuters,https://www.reuters.com/video/watch/idOVEYUZEYZ
More than 100 U.S. lawmakers urge Pelosi to back union EV tax credit - Reuters,Reuters,https://www.reuters.com/business/autos-transportation/more-than-100-us-lawmakers-urge-pelosi-back-union-ev-tax-credit-2021-10-12/
"U.S. energy transition to create Mexico auto jobs, climate envoy Kerry says - Reuters",Reuters,https://www.reuters.com/world/americas/us-energy-transition-create-mexico-auto-jobs-climate-envoy-kerry-says-2021-10-18/
iPhone-maker Foxconn shows off its first EVs - Reuters,Reuters,https://www.reuters.com/video/watch/idOVEZOXW23
Foxconn to work with German brands on EVs - Reuters,Reuters,https://www.reuters.com/video/watch/idOVEZYXMYZ
"The 11 most exciting electric vehicles hitting streets in 2022, from Ford's electric F-150 to an ultra-sleek Cadillac SUV",Business Insider,https://www.businessinsider.com/ev-electric-cars-2022-ford-lightning-cadillac-kia-canoo-2021-10
"Ford plans to spend $11 billion on 3 new battery factories for electric vehicles that it says will create 11,000 jobs in Kentucky and Tennessee",Business Insider,https://www.businessinsider.com/ford-spending-11-billion-electric-f-150-battery-factories-2021-9
"Electric Vehicles, the Gasoline Problem, and Synthetic Fuels: Part 1",Hackaday,https://hackaday.com/2021/10/18/electric-vehicles-the-gasoline-problem-and-synthetic-fuels-part-1/
Electrified cars hit almost a fifth of EU Q3 vehicle sales - Reuters.com,Reuters,https://www.reuters.com/article/autos-europe-electric-sales-idUSKBN2HC0JD
