Name,Subtitle,Efficiency,FastChargeSpeed,Power,NumberofSeats,PriceinGermany,PriceinUK,Range (ml),Acceleration Per/Sec,Top Speed (KM/H),Price_USD,Is_front_wheel_drive,Is_All_Wheel_Drive,Is_Rear_Wheel_Drive,Speed New,Battery_clean
Jaguar I-Pace EV400,Battery Electric Vehicle |       84.7 kWh,232 Wh/km,340 km/h,All Wheel Drive,5,77300,"£65,195",365,4.8,200,89687.45,False,True,False,211.27,84.7
Kia e-Soul 64 kWh,Battery Electric Vehicle |       64 kWh,173 Wh/km,350 km/h,Front Wheel Drive,5,37790,,370,7.9,167,43845.91,True,False,False,217.48,64.0
Kia e-Soul 39 kWh,Battery Electric Vehicle |       39.2 kWh,170 Wh/km,220 km/h,Front Wheel Drive,5,33990,,230,9.9,157,39436.95,True,False,False,136.7,39.2
Audi Q4 Sportback e-tron 35,Battery Electric Vehicle |       51.5 kWh,175 Wh/km,410 km/h,Rear Wheel Drive,5,43900,"£42,250",295,9.0,160,50935.05,False,False,True,254.76,51.5
Nissan Ariya 63kWh,Battery Electric Vehicle |       63 kWh,188 Wh/km,450 km/h,Front Wheel Drive,5,45000,"£40,000",335,7.5,160,52211.32,True,False,False,279.62,63.0
Nissan Ariya 87kWh,Battery Electric Vehicle |       87 kWh,196 Wh/km,530 km/h,Front Wheel Drive,5,50000,"£45,000",445,7.6,160,58012.58,True,False,False,329.33,87.0
Nissan Ariya e-4ORCE 63kWh,Battery Electric Vehicle |       63 kWh,194 Wh/km,440 km/h,All Wheel Drive,5,50000,"£45,000",325,5.9,200,58012.58,False,True,False,273.4,63.0
Nissan Ariya e-4ORCE 87kWh,Battery Electric Vehicle |       87 kWh,207 Wh/km,500 km/h,All Wheel Drive,5,57500,"£52,500",420,5.7,200,66714.47,False,True,False,310.69,87.0
Nissan Ariya e-4ORCE 87kWh Performance,Battery Electric Vehicle |       87 kWh,226 Wh/km,460 km/h,All Wheel Drive,5,65000,"£57,500",385,5.1,200,75416.36,False,True,False,285.83,87.0
Volkswagen ID.3 Pro Performance,Battery Electric Vehicle |       58 kWh,166 Wh/km,440 km/h,Rear Wheel Drive,5,36495,"£29,740",350,7.3,160,42343.38,False,False,True,273.4,58.0
