Name,Subtitle,Efficiency,FastChargeSpeed,Power,NumberofSeats,PriceinGermany,PriceinUK,Range (ml),Acceleration Per/Sec,Top Speed (KM/H)
JAC iEV7s ,Battery Electric Vehicle |       39 kWh,173 Wh/km,160 km/h,Front Wheel Drive,5,,,225,12.0,132
Volkswagen ID.4 Pure Performance,Battery Electric Vehicle |       52 kWh,182 Wh/km,410 km/h,Rear Wheel Drive,5,"€38,450","£36,030",285,9.0,160
Audi e-tron GT quattro,Battery Electric Vehicle |       85 kWh,202 Wh/km,840 km/h,All Wheel Drive,4,"€99,800","£79,900",420,4.1,245
Volvo C40 Recharge,Battery Electric Vehicle |       75 kWh,221 Wh/km,440 km/h,All Wheel Drive,5,"€62,050","£57,400",340,4.7,180
Hyundai Kona Electric 39 kWh,Battery Electric Vehicle |       39.2 kWh,157 Wh/km,210 km/h,Front Wheel Drive,5,"€35,650","£27,950",250,9.9,155
Hyundai Kona Electric 64 kWh,Battery Electric Vehicle |       64 kWh,162 Wh/km,370 km/h,Front Wheel Drive,5,"€41,850","£32,550",395,7.9,167
Porsche Taycan 4S Cross Turismo,Battery Electric Vehicle |       83.7 kWh,207 Wh/km,850 km/h,All Wheel Drive,4,"€111,842","£87,820",405,4.1,240
Porsche Taycan Turbo Cross Turismo,Battery Electric Vehicle |       83.7 kWh,217 Wh/km,800 km/h,All Wheel Drive,4,"€154,444","£116,950",385,3.3,250
Porsche Taycan Turbo S Cross Turismo,Battery Electric Vehicle |       83.7 kWh,220 Wh/km,790 km/h,All Wheel Drive,4,"€187,746","£139,910",380,2.9,250
Kia EV6 GT,Battery Electric Vehicle |       77.4 kWh ,196 Wh/km,920 km/h,All Wheel Drive,5,"€65,990","£58,295",395,3.5,260
BMW iX xDrive40,Battery Electric Vehicle |       71 kWh,203 Wh/km,470 km/h,All Wheel Drive,5,"€77,300","£69,905",350,6.1,200
BMW iX xDrive50,Battery Electric Vehicle |       105.2 kWh,208 Wh/km,620 km/h,All Wheel Drive,5,"€98,000","£91,905",505,4.6,200
MG MG5 Electric,Battery Electric Vehicle |       57 kWh ,168 Wh/km,440 km/h,Front Wheel Drive,5,"€35,000",,340,8.3,180
MG Marvel R Performance,Battery Electric Vehicle |       65 kWh ,197 Wh/km,380 km/h,All Wheel Drive,5,"€50,000",,330,4.9,200
Hyundai IONIQ 5 Standard Range 2WD,Battery Electric Vehicle |       58 kWh ,187 Wh/km,720 km/h,Rear Wheel Drive,5,"€41,900","£36,995",310,8.5,185
Hyundai IONIQ 5 Standard Range AWD,Battery Electric Vehicle |       58 kWh ,190 Wh/km,710 km/h,All Wheel Drive,5,"€45,700",,305,6.1,185
